Name,Lot No.,Kilometers,Price
Ktm Duke 390,12,30000,"Rs. 3,50,000"
Ktm Rc200 Exchange With Duke 390,80,20000,"Rs. 3,15,000"
Fresh Duke 200 On Urgent Sale,1 ,10000,"Rs. 4,45,000"
Rc 200,85,39k++,"Rs. 3,20,000"
Duke 200,78,25000,"Rs. 2,75,000"
Fresh Duke On Sell 69 Lot 2015 Last Model,69,20k,"Rs. 2,34,000"
Ktm Rc 390,- ,,"Rs. 8,24,900"
Ktm Rc 200,85,14000,"Rs. 3,65,000"
Duke 250 Like New On Sale,10,18k,"Rs. 4,29,999"
Ktm Duke 250 In Urgent Sale,37,21000,"Rs. 3,30,000"
Ktm Duke 200,69,24500,"Rs. 2,65,000"
Ktm Duke 250 On Sale,99,5200,"Rs. 5,15,000"
Ktm Duke 250 On Sale,99,5200,"Rs. 5,15,000"
Ktm Rc200 On Sale..,87,28000,"Rs. 3,50,000"
Ktm250,9 ,19000,"Rs. 3,80,000"
Duke 250 For Sale,02,11000,"Rs. 5,90,000"
My Self,69,29500,"Rs. 2,45,000"
Duke 250,15,21000,"Rs. 4,50,000"
Duke 200,92,28000,"Rs. 3,80,000"
200cc Ktm Rc For Sale,93,10500,"Rs. 4,80,000"
200cc Ktm Rc For Sale,93,10500,"Rs. 4,80,000"
Duke 200 For Sale (excellent Condition),90,23000,"Rs. 3,55,000"
Ktm Duke 200 75 Lot Low Run,75,11000,"Rs. 3,50,000"
Ktm Rc 200,73,20000,"Rs. 2,50,000"
Ktmduke 200,75,12000,"Rs. 3,35,000"
Ktm Rc 200,80,,"Rs. 3,00,000"
Duke 200 2019 Model,01,2056,"Rs. 4,85,000"
Duke 250,09,,"Rs. 5,50,000"
Ktm Rc On Sell,85,28000,"Rs. 2,85,000"
Rc/duke 390 Engine Rebuild,00,,"Rs. 20,000"
Ktm 250 Bike For Sale,99,"17,000","Rs. 4,80,000"
Urgent,82,13000,"Rs. 3,20,000"
Ktm Rc200,70,,"Rs. 2,75,000"
Ktm Rc 200 On Sell,98,13500,"Rs. 4,25,000"
Ktm Rc 200 On Sell,98,13500,"Rs. 4,25,000"
For Sale Ktm Duke 200,56,25270,"Rs. 2,10,000"
Duke 390,64,9400,"Rs. 4,25,000"
Ktm Duke 250,99,5700,"Rs. 5,00,000"
Ktm Duke 200cc,75,36k,"Rs. 2,75,000"
Ktm Duke 250,1 ,7800,"Rs. 5,20,000"
Rc 390 (like New Fresh),01,,"Rs. 7,50,000"
Ktm Duke On Sale,10,,"Rs. 2,20,000"
Ktm Duke On Sale,10,,"Rs. 2,20,000"
Duke 200,78,,"Rs. 3,10,000"
Ktm Duke 200 Excellent Condition,69,10000,"Rs. 2,99,999"
Ktm. Duke 200,72,31150,"Rs. 2,80,000"
Ktm Duke 390,13,9000,"Rs. 4,00,000"
Duke 390 On Sale,12,22000,"Rs. 3,60,000"
Ktm Rc 200 78 Lot,78,40k,"Rs. 2,60,00,000"
Rc 200 On Sell,35,10000,"Rs. 4,00,000"
Embroday Factory,10,,"Rs. 10,000"
Duke 250 Single Handed,91,10k,"Rs. 4,30,000"
Ktm Duke 200 Sell Or Exchange,80,,"Rs. 3,20,000"
390 Bike On Sell,10,21000,"Rs. 3,50,000"
Ktm Duke 200 Urgent Sale,73,,"Rs. 2,80,000"
Ktm 390 Duke 2017 Only 13500 Km Done,13,13500,"Rs. 5,60,000"
Ktm 390 Duke 2017 Only 13500 Km Done,13,13500,"Rs. 5,60,000"
Superb Fresh Ktm Rc 200 On Sale,80,19000,"Rs. 2,99,000"
Duke 200,88,20000,"Rs. 3,50,000"
Ktm Duke 390cc 65 Lot,65,28000,"Rs. 3,25,000"
Duke 250 On Sale,15,13000,"Rs. 4,20,000"
Duke 200,21,,"Rs. 2,75,000"
Ktm Duke 200,67,,"Rs. 3,50,000"
Fresh Ktm Duke 200,82,"36,000","Rs. 3,00,000"
Fresh Ktm Duke 200,82,"36,000","Rs. 3,00,000"
Duke 200,73,,"Rs. 2,80,000"
Ktm Duke 200,97,,"Rs. 4,15,000"
Rc 200 Ktm,15,18000,"Rs. 4,20,000"
Ktm Rc200,81,19000,"Rs. 3,45,000"
2015 Ktm Rc 390,1 ,23000,"Rs. 3,50,000"
Duke 250 On Sale,85,11000,"Rs. 4,10,000"
Urgent Sell Or Exchange,81,23000,"Rs. 3,00,000"
Ktm Rc 200,73,26000,"Rs. 3,10,000"
Duke 250,13,18766,"Rs. 4,85,000"
Fresh Ktm Rc 390 On Sale,66,28000,"Rs. 3,00,000"
