Name,Lot No.,Kilometers,Price
Yamaha Fascino Scooter On Sale,70,25000,"Rs. 95,000"
"Fz 250 Abs Rs 3,80,000",12,11000,"Rs. 3,80,000"
Fzs Bike For Sale,65,30k,"Rs. 1,05,000"
Yamaha R15 150,30,72000,"Rs. 70,000"
Yamaha R15 V3,11,6000,"Rs. 4,00,000"
Fascino Scooty,11,19000,"Rs. 90,000"
Yamaha Saluto,88,15000,"Rs. 1,10,000"
Urgent Sell Yamaha Zr Street Rally 102 Lot,02,11500,"Rs. 1,50,000"
Yamaha Fzs V3.0 (pa.09 Lot),09,15000,"Rs. 2,60,000"
R15 V2 Urgent Sell,50,40k,"Rs. 1,30,000"
Brand New Fz-5 V2 Bike On Sell Lot No. 002,02,14k,"Rs. 2,50,000"
Yamaha Fzs,29,23000,"Rs. 1,60,000"
Fz V2 Sell Or Exchange,44,29000,"Rs. 1,50,000"
Fz V2 Sell Or Exchange,44,29000,"Rs. 1,50,000"
Yamaha R15 V3,09,9000,"Rs. 4,00,000"
Fz V2 Full Mud Guard Good Condition,00,,"Rs. 1,200"
R15 Yamaha,71,,"Rs. 1,70,000"
Yamaha Dt 50cc (7 Lot),7 ,Na,"Rs. 1,00,000"
Bike On Sale,87,21000,"Rs. 1,80,000"
Yamaha Yzf R3,72,,"Rs. 9,24,900"
Fz250,87,30000,"Rs. 2,30,000"
Fz250,87,30000,"Rs. 2,30,000"
Scooty 115 Cc - Urgent Sell- Pokhara,30,30000,"Rs. 22,000"
Single Hand Mt15 112lot,13,,"Rs. 3,63,000"
R15 V1,41,,"Rs. 95,000"
Yamaha Fzs-fi,74,25000,"Rs. 1,75,000"
88 Lot Fresh Scoty,88,25500,"Rs. 1,13,000"
Enticer,15,,"Rs. 50,000"
Xtz 125,06,9000,"Rs. 2,85,000"
Single Handed Fz V2 On Sale,05,7000,"Rs. 2,23,000"
"Yamaha R15 For Rs 4,00,000",6 ,8000,"Rs. 4,00,000"
Yamaha Nmax 155,Na,,"Rs. 4,69,900"
Exchange Also Aviable,38,,"Rs. 55,000"
106 Lot Yamaha Fz 250 On Sale,06,,"Rs. 2,80,000"
Yamaha Xtz 125 ( B761 ),- ,,"Rs. 3,99,900"
Yamaha Xtz 125 ( B761 ),- ,,"Rs. 3,99,900"
Bike For Sale,89,14000,"Rs. 1,90,000"
Alba Fresh Conditions,42,,"Rs. 30,000"
Yamaha R15s,95,8690,"Rs. 2,50,000"
Yamaha Fz 25 Dual Abs,Na,,"Rs. 4,34,900"
Yamaha Fzs Fi Brand New,40,15700,"Rs. 1,80,000"
Fz 250,14,8900,"Rs. 3,80,000"
Yamaha R15 V2 On Sale,58,51000,"Rs. 1,30,000"
Yamaha R15 V2 On Sale,58,51000,"Rs. 1,30,000"
Yamaha Zr Scooty,88,10000,"Rs. 1,15,000"
Fz V2,9 ,11000,"Rs. 2,75,000"
R15 V3 On Sale,14,3000,"Rs. 4,15,000"
Fz V2 84 Lot,84,22500,"Rs. 1,90,000"
"Alba Bike, Singal Hand, Good Condition Make Year 2008",31,30000,"Rs. 55,000"
Fz 250,97,14500,"Rs. 2,90,000"
R15 V3,11,,"Rs. 4,15,000"
R15 V1 Urgent Sell,44,,"Rs. 74,500"
Yamaha R3,92,5000,"Rs. 7,50,000"
Rx 100 Tax Clear Bike,6 ,,"Rs. 57,000"
Yamaha R15,53,35000,"Rs. 1,10,000"
R15 V2 ((special Edition)),39,13500,"Rs. 1,80,000"
Yamaha Fazer,37,,"Rs. 60,000"
Yamaha Fazer,37,,"Rs. 60,000"
Yamaha Ray Z Sale And Exchange Only Bike Sanga,74,28000,"Rs. 95,000"
Fzs Fi V2,02,10000,"Rs. 2,10,000"
R 15 V3,48,8227,"Rs. 3,25,000"
Yamaha Yzf R3 For Sale!,79,12659,"Rs. 7,00,000"
Bike On Urgent Cell,00,,"Rs. 2,00,000"
Fzs V2,09,13k,"Rs. 2,40,000"
Yamaha Rayzr,94,15000,"Rs. 1,45,000"
Yamaha Rayzr,94,15000,"Rs. 1,45,000"
R15 V3 On Sale,11,5000,"Rs. 4,00,000"
Fzs,72,"25,000","Rs. 1,50,000"
R15vs New Bharjan,00,15000,"Rs. 2,50,900"
One Hand Yamaha Fascino Scooter Sale.urgent,81,20500,"Rs. 1,35,000"
R3 On Sale,30,13500,"Rs. 7,00,000"
"Fz 2013 Model, Used Few Times Only Serious Buyers",57,10099,"Rs. 1,50,000"
Yamaha Ray Zr Street Rally 125 Fi,Na,,"Rs. 2,54,900"
R15v3 On Sale,01,9400,"Rs. 3,55,000"
Yamaha Fzs V3 150 Cc (blue),11,7000,"Rs. 2,75,000"
Fz,81,19k,"Rs. 1,50,000"
Fzs For Sale,74,10090,"Rs. 1,45,000"
57 Lot Fz On Sale,57,,"Rs. 77,000"
Yahama R15 V.2 Special Edition Looks Top Condition,50,32000,"Rs. 92,000"
Yahama R15 V.2 Special Edition Looks Top Condition,50,32000,"Rs. 92,000"
153 Cc Yamaha Ba 60 9030,60,30000,"Rs. 95,000"
Yamaha R15 V2 Special Edition,74,,"Rs. 2,30,000"
Yamaha Virago 750cc,7 ,,"Rs. 7,75,000"
91 Lot Fz25 Yamaha For Sale,91,26,"Rs. 2,25,000"
Fzs Bike Fresh Xa,54,53733,"Rs. 85,000"
71 Lot Fz_v2 On Sale,71,36000,"Rs. 1,45,000"
Fzs V2 76 Lot,76,29000,"Rs. 1,70,000"
Fzs V2 76 Lot,76,29000,"Rs. 1,70,000"
Fz 25 Is On Sale,01,5000,"Rs. 3,50,000"
Fz V2,89,21000,"Rs. 1,80,000"
Fz,63,,"Rs. 1,20,000"
Fz V3,07,13500,"Rs. 2,40,000"
Bike On Sale,93,29000,"Rs. 1,90,000"
R15s,74,32000,"Rs. 1,60,000"
Yamaha Ray Zr Scooter,78,8300,"Rs. 1,25,000"
Seal Pack Engine Single Hand Used Yamaha Sport N Racing Bike R15,30,30000,"Rs. 85,900"
R15v2 Lovers,63,33000,"Rs. 1,59,000"
Bike In Great Condition,00,15850,"Rs. 2,49,000"
Fzs V2 81 Lot Like New,81,38000,"Rs. 1,63,000"
Enticer 1 Hand Use Good Condition,9,,"Rs. 65,000"
Yamaha Fz V3 (018 Lot),18,12300,"Rs. 2,58,000"
Yamaha Fz V3 (018 Lot),18,12300,"Rs. 2,58,000"
Fzs150 Cc Blue&silver,57,52k,"Rs. 99,999"
Yamaha Saluto,38,12000,"Rs. 1,50,000"
Fzs Army Colour,71,35000,"Rs. 1,45,000"
R15 V1 42 Lot,42,No Ide,"Rs. 85,000"
Fz25 Yamaha,20,28000,"Rs. 2,20,000"
R15 V2,12,24500,"Rs. 1,20,000"
Single Hand Ray Zr 101 Lot,1,,"Rs. 1,23,000"
Single Hand Ray Zr 101 Lot,1,,"Rs. 1,23,000"
Excellent Fascino On Sales/exchange,10,2900,"Rs. 1,75,000"
R15 V-2,58,18442,"Rs. 1,40,000"
Fascino,72,18000,"Rs. 95,000"
R15 V1.5,71,24000,"Rs. 1,40,000"
Yamaha Entiser,40,,"Rs. 55,000"
Fz25 (250cc) (exchange Also With Another Bike),87,3999,"Rs. 2,25,000"
Yamaha Mt 15,06,"8,500","Rs. 3,80,000"
Fz V2 2018 Black 94 Lot,94,40000,"Rs. 1,90,000"
R15v3 For Sale 112lot,12,6800,"Rs. 3,90,000"
Fzs Bike On Sale,68,49000,"Rs. 1,45,000"
R15 V3 For Sale,16,4300,"Rs. 4,20,000"
Fascino Scooter,14,9000,"Rs. 1,25,000"
Fzs 150 V2,71,30000,"Rs. 1,40,000"
Fzs 150 V2,71,30000,"Rs. 1,40,000"
Fascino 125,78,13000,"Rs. 1,05,000"
R15 V2 Special Offer,68,44900,"Rs. 1,80,000"
104 Lot Yamaha Fzs V2 For Sale,04,,"Rs. 2,35,000"
Enticer 125 Cc Bike,21,34000,"Rs. 65,000"
R15 V2 50,50,No Ide,"Rs. 1,05,000"
Yamaha R15 V3,13,2700,"Rs. 4,30,000"
Yamaha R15 V3 (blue),05,12000,"Rs. 3,15,000"
Yamaha R15 V3 (blue),05,12000,"Rs. 3,15,000"
