Name,Lot No.,Kilometers,Price
R15,62,,"Rs. 1,55,000"
Fz25,91,,"Rs. 2,65,000"
Yzf R15,78,,"Rs. 2,05,000"
38 Lot Fresh Fz Fazzer On Sale,38,,"Rs. 73,000"
53 Lot Szr On Sale,53,,"Rs. 69,000"
Fzv2 150 2016 Model,13,27969,"Rs. 1,75,000"
Urgent For Sale,87,15000,"Rs. 1,75,000"
Yamaha,35,57k,"Rs. 75,000"
Yamaha Ybr 125 ( Gladiator),51,29k+,"Rs. 65,000"
94 Lot Fresh Fzs V2 For Sale,94,20000,"Rs. 1,98,000"
R15 V2 Special Edition,74,25000,"Rs. 1,70,000"
Yamaha Szrr,-,,"Rs. 2,37,900"
Yamaha Fascino 75 Lot,75,,"Rs. 1,10,000"
Yamaha Fascino 75 Lot,75,,"Rs. 1,10,000"
Yamaha Alba 106 Es On Sale,3 ,"29,000","Rs. 70,000"
Fzs V2,91,26000,"Rs. 2,00,000"
R15,79,36000,"Rs. 1,85,000"
Yamaha Ray Z Blue Core,- ,,"Rs. 1,95,900"
Fzs Fi V2 | 93 Lot | 17k Runs,93,17093,"Rs. 2,05,000"
Fascino Lot 75,75,25000,"Rs. 99,000"
Yamaha Fzs V3 Abs,10,12000,"Rs. 2,69,000"
Yamaha Fzs V3 Abs,10,12000,"Rs. 2,69,000"
Fz V 3 Urgent Sale,10,6500,"Rs. 2,90,000"
Fresh Fzs Bike Bikrima,61,33700,"Rs. 1,35,000"
Yamaha Fzs,35,,"Rs. 1,55,000"
Fz25 Sell Or Exchange,91,23700,"Rs. 2,30,000"
Yamaha Fzsfi 101 Lots Spical Adiction Sale/xchange,00,16000,"Rs. 2,15,900"
Fzs V3 On Sale,65,24000,"Rs. 2,40,000"
R15 V3 Needed,10,0000,"Rs. 4,00,000"
Yamaha Saluto On Urgent Sell,Ba,10000,"Rs. 1,50,000"
Name,Lot No.,Kilometers,Price
R15 V1.5 On Sale,91,18000,"Rs. 2,07,000"
Yamha Fz V3 Abs On Urgent Sell,07,8000,"Rs. 2,42,000"
Bike,80,31000,"Rs. 1,65,000"
Yamaha Ray Zr Street Rally Ubs ( B2v2 ),- ,,"Rs. 2,20,900"
Fz V2 Urgent Sell,71,23000,"Rs. 1,55,000"
Fz V2 Urgent Sell,71,23000,"Rs. 1,55,000"
Yamaha Fz V2 On Sell,5 ,15000,"Rs. 2,40,000"
Like New Yamaha Fzfi V2 Bike On Sale,47,9000,"Rs. 2,50,000"
Yamaha Fz25 For Sale.,02,8500,"Rs. 3,65,000"
Fz V2 Fi On Sell,11,11012,"Rs. 2,35,000"
Yamaha Fz-s (78 Lot),78,21300,"Rs. 1,54,000"
Fz Yamaha Matt Green On Sale,03,6000,"Rs. 2,30,000"
Bike R15 V2,63,40000,"Rs. 1,50,000"
Bike R15 V2,63,40000,"Rs. 1,50,000"
R15 V3 Low Km Reading Like New,03,,"Rs. 3,70,000"
Fresh Ray Z On Sale,72,,"Rs. 90,000"
Ugrent Sale V3 Pradesh 02 17pa,17,11000,"Rs. 3,10,000"
Yamaha Cygnus Alpha Scooter On Sell With Great Pickup And Mileage,35,,"Rs. 83,000"
Yanaha Fzsfi 98 Lots Sale/xchange,98,15000,"Rs. 1,95,900"
Yamaha Ray Z,93,14000,"Rs. 1,15,000"
Yamaha Fzs V3,10,1300,"Rs. 2,90,000"
Yamaha Alfa Scoter,65,21500,"Rs. 85,000"
Bike For Sale,8 ,40,"Rs. 16,00,000"
R15 V3,13,3980,"Rs. 4,35,000"
Yamaha Fz V3 (6800 Km),5 ,,"Rs. 2,65,000"
Fz250,98,25000,"Rs. 3,00,000"
Yamaha R15 V2 Special Edition,74,25000,"Rs. 1,70,000"
Yamaha R15 V2 Special Edition,74,25000,"Rs. 1,70,000"
Yamaha Fzs V2 (combat Color) Army Color On Sale,18,9000,"Rs. 2,35,000"
Yamaha Fz25 2019,05,20000,"Rs. 3,15,000"
Fz Sports Bike,33,"50,000","Rs. 80,000"
58 Lot Szr On Sale,58,,"Rs. 69,000"
40 Lot Fz Fazer On Sale,40,,"Rs. 73,000"
Yamaha Szrr Urgent Sale (new Bike),18,,"Rs. 2,00,000"
Yamaha Enticer,40,60000,"Rs. 50,000"
Yamaha Enticer,40,60000,"Rs. 50,000"
Yamaha R15 V3 On Sale (blue),02,11k,"Rs. 3,80,000"
Fzs 150 V3,13,10000+,"Rs. 2,95,000"
Nsjsjdbdbjs,02,8500,"Rs. 3,65,000"
R15 V3,06,10000,"Rs. 4,25,000"
Bike On Sale,26,,"Rs. 40,000"
Urgent For Sale,32,32000,"Rs. 55,000"
Yamaha Scooter,15,2130,"Rs. 1,90,000"
Fz V3 06lot Full Fresh,06,7200,"Rs. 2,65,000"
R15 V2 62lot,62,,"Rs. 1,22,000"
Yamaha Yzf R15,66,50000,"Rs. 1,50,000"
Fzs Fi,82,,"Rs. 1,72,000"
Yamaha Mt,09,7900km,"Rs. 3,75,000"
Mt-15 Yamaha,01,6032,"Rs. 3,88,000"
Mt-15 Yamaha,01,6032,"Rs. 3,88,000"
Rz Street Ralley,9,,"Rs. 1,74,000"
Yahama Fz 150cc,92,"9,500","Rs. 2,20,000"
Yamaha Saluto 125 Cc,38,2400,"Rs. 1,90,000"
Bike Sale,61,28000,"Rs. 1,05,000"
Yamaha Sz Rr,02,1850,"Rs. 2,00,000"
Yamaha 110 On Sale,30,2500,"Rs. 38,000"
107 Lot New Yamaha Fz-s V2 (dual Disc) For Sale,07,8000,"Rs. 2,48,000"
107 Lot New Yamaha Fz-s V2 (dual Disc) For Sale,07,8000,"Rs. 2,48,000"
Gladiator Ss 125cc,45,,"Rs. 75,000"
Fascino Lot 101,01,11k,"Rs. 1,40,000"
Yahama Sz-rr 150,11,15000,"Rs. 1,80,000"
Yamaha Fz-s,71,40000,"Rs. 1,50,000"
Yamaha Ray Zr,83,11000,"Rs. 1,25,000"
R15 V3 On Sale,02,,"Rs. 3,10,000"
Fz-s V2.0,83,45000,"Rs. 1,85,000"
Fz V3 Abs On Sale Or Exchange With Sccoty,3 ,2000,"Rs. 2,90,000"
Yamaha Fz-s 150cc V2 (003 Lot),03,10400,"Rs. 2,18,000"
Yamaha Fzs Fi V3,01,11500,"Rs. 2,90,000"
Yamaha R15 V1,31,50000,"Rs. 1,00,000"
Fzs V3 Fresh Bike On Sell,6 ,17000,"Rs. 2,75,000"
Yamaha Ray Zr Street Rally Pradesh 3 Lot 101,1 ,21000,"Rs. 1,55,000"
Yamaha Ray Zr Street Rally Pradesh 3 Lot 101,1 ,21000,"Rs. 1,55,000"
Yamaha Fascino 2017,83,12000,"Rs. 1,35,000"
Yamaha Fzs2.0 On Sale,80,,"Rs. 1,90,000"
R15 V2 75lot 23000km Run Special Edition,75,23000,"Rs. 1,65,000"
Yamaha Saluto 86 Lot For Sale,86,,"Rs. 1,20,000"
Yamaha 125cc With Disc Brake,29,15000,"Rs. 70,000"
R15 V3 Urgent Sell (butwal),54,8500,"Rs. 4,00,000"
Super Fresh Zero Fault V2 On Sale,12,30000,"Rs. 2,00,000"
Super Fresh Zero Fault V2 On Sale,12,30000,"Rs. 2,00,000"
Yamaha Zr Sr 113cc 98 Lot,98,12000,"Rs. 1,55,000"
Bike On Sold,71,,"Rs. 1,50,000"
85 Lot Ko Yahama R15 V1,85,40000,"Rs. 2,20,000"
Fzs Fi Lot 90 White,90,16000,"Rs. 1,90,000"
R15v2,66,41000,"Rs. 1,75,000"
Fz-s Fi V3,13,3508,"Rs. 2,95,000"
R15,97,15000,"Rs. 2,30,000"
Yamaha R3 Fresh Condition,94,4000,"Rs. 8,00,000"
Mt Sell Or Exchange,02,8000,"Rs. 4,00,000"
Yamaha Zr,82,21000,"Rs. 1,05,000"
Yamaha Saluto Ubs(disc),Na,,"Rs. 2,13,900"
Fzs Fi Doubble Disk Urgent Need Money,98,19991,"Rs. 2,11,000"
Yamha Fzs V3 On Urgent Sell,06,8000,"Rs. 2,42,000"
Yamha Fzs V3 On Urgent Sell,06,8000,"Rs. 2,42,000"
R15 V3 Abs Sale/exchange Offer,8 ,5000,"Rs. 4,10,000"
Rodeo Rz,72,,"Rs. 95,000"
R15v1,16,42352,"Rs. 86,000"
Fz Bike,96,9000,"Rs. 2,30,000"
Yamaha Fzs,06,9000,"Rs. 2,55,000"
Yamaha Fzs 150 104 Lot Dual Disc,04,,"Rs. 2,44,500"
Fz-50,52,36000,"Rs. 2,65,000"
Fz-50,52,36000,"Rs. 2,65,000"
Yamaha Fz25,97,17000,"Rs. 3,00,000"
Yamaha Szr,12,42000,"Rs. 85,000"
Fzs V2,10,11000,"Rs. 2,40,000"
Fzs,11,7300,"Rs. 2,80,000"
Szr On Sale,55,,"Rs. 68,000"
Yamaha-r15-v2,61,,"Rs. 1,57,000"
Fz Version 3,09,13000,"Rs. 2,45,000"
60 Lot Rey Z On Sale,60,,"Rs. 77,000"
R15 V3 Fresh,05,15000,"Rs. 3,50,000"
Yamaha R15 Version 3,11,6000,"Rs. 4,00,000"
Yamaha Fzs Bikri Maa,37,37000,"Rs. 1,45,000"
Fz 250 Black,91,,"Rs. 2,80,000"
Excellent Condition 51 Lot R15 V2 For Sale.,51,,"Rs. 1,10,000"
Excellent Condition 51 Lot R15 V2 For Sale.,51,,"Rs. 1,10,000"
Yamaha Fzs V2 Fi 89 Lot On Sell,89,31000,"Rs. 1,90,000"
Fzs V2 102 Lot On Urgent Sell,02,15000,"Rs. 2,05,000"
Yamaha Fzs V2,12,5300km,"Rs. 2,70,000"
R15 V2,66,36000,"Rs. 1,75,000"
Fachino Scooty 77 Lot On Sale,77,18000,"Rs. 1,15,000"
R15 On Sale,14,,"Rs. 1,90,000"
115 Lot Yamaha Ray Zr On Sale,15,7000,"Rs. 1,85,000"
115 Lot Yamaha Ray Zr On Sale,15,7000,"Rs. 1,85,000"
Fzs 44 Lot For Sale Or Exchange With Scooter,44,,"Rs. 65,000"
Fz 250cc For Sale,87,22000,"Rs. 2,48,000"
Brand New Yahama Fascino Scooter For Sale,17,6k,"Rs. 2,00,000"
Yamaha Xtz Lot 104,10,7000,"Rs. 2,77,000"
"Yamaha Fascino, Lot 77, 22000 Km",77,22000,"Rs. 1,10,000"
Fz 250 Lot 91,91,40,"Rs. 2,45,000"
R15s,86,24000,"Rs. 1,90,000"
Yahama Mt On Sale,03,3500,"Rs. 3,90,000"
Fascino On Sell,97,,"Rs. 1,60,000"
Yamaha Bike Full Fresh,09,9000,"Rs. 2,75,000"
R15 V3 On Sale One Handed,01,13000,"Rs. 3,25,000"
Yamaha Zr Disc,- ,,"Rs. 2,10,900"
Fzs Version 2 New Model,84,20000,"Rs. 1,80,000"
Fzs Version 2 New Model,84,20000,"Rs. 1,80,000"
Bike,6 ,17000,"Rs. 2,50,000"
Yamaha Saluto 125 On Sell,19,10000,"Rs. 1,75,000"
Fz25,89,30000,"Rs. 2,20,000"
Fzsfi V3,11,4200,"Rs. 3,00,000"
Bike On Sale ( Yamaha R15 ),34,053297,"Rs. 1,20,000"
Fzs Fi,91,28000,"Rs. 2,10,000"
Yamaha Fascino,00,4000,"Rs. 1,90,000"
Yamaha Fascino,00,4000,"Rs. 1,90,000"
Fz 250 On Sale 87 Lot Ko,87,,"Rs. 2,19,999"
Yamaha Fascino,84,14000,"Rs. 1,35,000"
Fzs 150 Kick Start,56,40000,"Rs. 95,999"
Yamaha Fzsfi V3 112 Lots Sale/xchange,01,6100,"Rs. 2,78,900"
Yamaha Fzs (red/silver),4 ,43000,"Rs. 1,00,000"
Zr Sccoter,88,14000,"Rs. 1,30,000"
Bike On Sale,92,23000,"Rs. 1,90,000"
Fzs V3 Yamaha Urgent Not A Single Scratch,10,6k,"Rs. 3,05,000"
250 Fzs On Sale,94,27000,"Rs. 2,38,000"
Ray Z 72 Lot,72,14500,"Rs. 1,15,000"
R15 V1s,71,22000,"Rs. 1,55,000"
Scooter Sell,12,,"Rs. 1,50,000"
Fzs 2012,2 ,80000,"Rs. 1,10,000"
Fzs 2012,2 ,80000,"Rs. 1,10,000"
Yamaha R15 V2,63,21000,"Rs. 1,60,000"
Yamaha Fz 250,13,,"Rs. 3,83,000"
Fresh Sz Rr 89 Lot 150 Cc,89,21000,"Rs. 1,35,000"
Yamaha Fascino 87 Lot,87,19000,"Rs. 1,20,000"
Famaha V3 Fresh,56,9625,"Rs. 2,80,000"
Yamaha V3,02,7500,"Rs. 3,40,000"
Yamaha Fzv3 Abs On Sale,07,10000,"Rs. 2,50,000"
Yamaha Fzv3 Abs On Sale,07,10000,"Rs. 2,50,000"
Fashino 125,15,4000,"Rs. 1,50,000"
Single Hand Fresh Yamaha Fzs V 2.0 Dual Disc,01,12500,"Rs. 2,18,000"
V3 Yamaha Good Deal,08,6,"Rs. 3,95,000"
77 Lot Fzs V2 On Sale,77,,"Rs. 1,55,000"
Gladiator 29lot Disk,29,30000,"Rs. 35,000"
Yamaha Sz-rr 150cc,8 ,19038,"Rs. 1,35,000"
Bike On Sell,82,34000,"Rs. 1,60,000"
Yamaha Fzs 150 Twin Disc(limited Edition),95,22k,"Rs. 2,30,000"
Yamaha Fzs Ver 2,01,15000,"Rs. 2,36,999"
Brand New Type Fzv2 On Sell,81,12000+,"Rs. 2,00,000"
Yamaha Fzs For Sale. Only Genuine Buyers Contact,59,25000,"Rs. 1,50,000"
Fresh Bike On Sale,64,19457,"Rs. 2,60,000"
Amazingly Fresh Fascino 125,43,8500,"Rs. 1,20,000"
Amazingly Fresh Fascino 125,43,8500,"Rs. 1,20,000"
Yamaha Szr On Sale,55,,"Rs. 70,000"
Yamaha R15 V3.0,06,9000,"Rs. 3,50,000"
Yamaha Fzs 150,82,+14k,"Rs. 1,75,000"
Yamaha Street Rally 113cc,9,,"Rs. 1,60,000"
Yamaha Fz V3 Fi,6 ,6500,"Rs. 2,90,000"
F2-5 74 Lot On Sale,74,,"Rs. 1,65,000"
Fz Sale 150 Black Colour,08,8300,"Rs. 2,40,000"
Fz Sale 150 Black Colour,08,8300,"Rs. 2,40,000"
Fz On Sale,01,,"Rs. 2,25,000"
Kunai Problem Xaina Tax Sab Tireko Xa,21,43862,"Rs. 1,27,000"
Fz,62,,"Rs. 1,25,000"
Fz-s 150 72 Lot,72,7800,"Rs. 1,80,000"
Yamaha R15 Nawalparasi Butwal Bhairahawa Kapilbastu,58,,"Rs. 34,999"
Urgent Sell,01,300,"Rs. 2,30,000"
R15,47,43000,"Rs. 1,20,000"
Yamaha R15 V3 Lot 102,10,,"Rs. 3,25,000"
Fz 250 On Sale,87,,"Rs. 2,80,000"
Fzs V3,16,2900,"Rs. 2,90,000"
Fzs Sale,59,20000,"Rs. 96,000"
R15 V1,10,45000,"Rs. 1,50,000"
R15 Ver 2,63,,"Rs. 1,48,590"
R15 Ver 2,63,,"Rs. 1,48,590"
Fz-s Version 2,75,27000,"Rs. 1,75,000"
R15 V3 Abs Monster Edition,11,5000,"Rs. 4,06,000"
Fz,9 ,11000,"Rs. 2,75,000"
Yamaha V2 Fi 75 Lot,75,50000,"Rs. 1,75,000"
R15s,84,23.5k,"Rs. 2,20,000"
96 Lot Fz V2 150 In Great Condition,96,14322,"Rs. 2,00,000"
Yamaha Gladitor Bike For Sale,32,,"Rs. 45,000"
Yamaha Gladitor Bike For Sale,32,,"Rs. 45,000"
R15 V1.5 Red,71,,"Rs. 1,70,000"
Yamaha Alba,41,,"Rs. 45,000"
Scooter Bikrima,83,4200,"Rs. 1,70,000"
R15 Engine Repair,1,,"Rs. 15,000"
Yamaha Zr Disk,88,16000,"Rs. 1,35,000"
Yamaha Fzs,59,41000,"Rs. 96,000"
Zr Radission Yamaha,02,11k+,"Rs. 1,60,000"
Bike On Sale,38,20000,"Rs. 1,55,000"
Yamaha Fz-s,00,,"Rs. 2,48,000"
Fzs V2 Excellent Condition Urgent Sell,74,,"Rs. 1,55,000"
Ybx Sel,2 ,42586,"Rs. 50,000"
Fully Fresh R15 Bike,3,,"Rs. 3,49,999"
Required Good Conditioned Motorcycle,45,,"Rs. 50,000"
Required Good Conditioned Motorcycle,45,,"Rs. 50,000"
R15 V1 Yamaha (red And White ),46,60000,"Rs. 90,000"
103 Lot R15 V3 On Sale,03,17000,"Rs. 3,50,000"
R15 V2 On Seal,69,41524,"Rs. 1,88,000"
Yamaha Rayz R,82,17000,"Rs. 1,35,000"
R15 On Sale,47,30000,"Rs. 95,000"
Yamaha Fz 150 Excllent Condition,37,,"Rs. 1,55,000"
Fz250 Fresh Sale,05,13000,"Rs. 3,20,000"
Fz250 Fresh Sale,05,13000,"Rs. 3,20,000"
Fzsv3,17,1400,"Rs. 3,00,000"
Yamaha Fzsfi 98 Lots Sale/xchange,98,,"Rs. 1,92,900"
Gladiator 125 Type Ss,40,40000,"Rs. 60,000"
Urgent For Sale,46,33000,"Rs. 1,00,000"
Ybr 62 Lot On Sale,62,,"Rs. 73,000"
R15 V2 For Sale,50,,"Rs. 1,20,000"
81 Lot Fz V2 White And Grey In Great Condition,81,,"Rs. 1,60,500"
Sell,17,900,Rs. 295
49lot Fresh Gladiator Byk Urgent Sell Only 49thu,49,39689,"Rs. 49,000"
Fresh Fascino,43,8000,"Rs. 1,25,000"
Zr Ray 82lot,82,,"Rs. 1,20,000"
R15 V3 105lot,5 ,15000,"Rs. 3,25,000"
Value For Money Ray On Sale,56,26000,"Rs. 75,000"
Value For Money Ray On Sale,56,26000,"Rs. 75,000"
Fzs 40 Lot,40,No Ide,"Rs. 69,000"
55 Lot Ko Fresh Yamaha V2.0 On Urgent Sale,55,40+,"Rs. 1,25,000"
Yamaha Ray-z 83 Sale/xchange,83,,"Rs. 1,11,900"
Byke For Sell,10,45000,"Rs. 1,35,000"
Yamaha Fz Fresh 95 Lot On Sale,95,20000,"Rs. 3,34,000"
Tihar Ko Offer Ma Adam Ramro Condison Ma,25,50632,"Rs. 1,40,000"
Sale Off Tihar Offer,20,27039,"Rs. 85,000"
Sale Off Tihar Offer,20,27039,"Rs. 85,000"
R15 V3 Fresh,06,,"Rs. 3,60,000"
Very Frest 50 Lot Yamaha Gs For Sale,50,24000,"Rs. 75,000"
Sales,16,1400,"Rs. 2,10,000"
R15v3,03,6000,"Rs. 4,20,000"
Z Ray On Sale,72,,"Rs. 85,000"
Ray-z 60 Lot Scooty On Sell Call:9818401726,60,25000,"Rs. 78,000"
R15 Bike On Sell Urgent,99,,"Rs. 2,00,000"
125yamaha Gladiator Ss 56lot,56,34000,"Rs. 69,000"
105 Lot New Yamaha Rayz-r Rally For Sale,05,10000,"Rs. 1,48,000"
Yamaha Enticher,15,1000,"Rs. 45,000"
Yamha R15 On Urgent Sell,71,18000,"Rs. 1,67,000"
117 Lot Ray Zr,17,1300,"Rs. 1,90,000"
Fz V3 Exchange Offer 002-014 Lot,01,6000,"Rs. 2,70,000"
Fz V3 Exchange Offer 002-014 Lot,01,6000,"Rs. 2,70,000"
Urgent Sale Fascino 78 Lot Single Handed,78,35000,"Rs. 95,000"
Fzs V2 Fi,00,6500,"Rs. 2,50,000"
Like New R15 V2 63 Lot 2014 Model,63,,"Rs. 1,30,000"
Ray Zr,05,1198,"Rs. 1,80,000"
Yamaha Bike Exchange With Phone,23,,"Rs. 35,000"
Fzs 250,94,19000,"Rs. 2,45,000"
Kunai Pani Bike Chaiye Ma Yo Number Ma Call Garnu Hola 9819945510,5 ,37500,"Rs. 70,000"
Kunai Pani Bike Chaiye Ma Yo Number Ma Call Garnu Hola 9819945510,5 ,37500,"Rs. 70,000"
150 Yamaha Excellent Condition,46,,"Rs. 70,000"
Fascino 2019 Model,17,8000,"Rs. 1,85,000"
Fashino Happy Tihar,36,32542,"Rs. 1,25,000"
Yamaha Gladiator Fresh,47,34500,"Rs. 54,999"
R15,81,,"Rs. 2,45,000"
R15 67 Lot V2,67,17000,"Rs. 1,60,000"
Fz 25 250 On Sell,97,"10,000","Rs. 3,15,000"
71 Lot Fascino On Sale,71,25k,"Rs. 98,999"
Fresh Fz On Sale,15,32000,"Rs. 1,37,000"
Yamaha R15 New Condition,4 ,,"Rs. 1,25,000"
Yamha Fshino,37,64076,"Rs. 1,35,000"
72 Lot R15 V1s For Sale,71,35,"Rs. 1,75,000"
Yamaha Fz25,87,15000,"Rs. 2,80,000"
Yamaha Fz25,87,15000,"Rs. 2,80,000"
Yamaha R15,53,40000,"Rs. 1,25,000"
Fascino,42,6000,"Rs. 1,70,000"
Fzs 16 For Sell,59,40k,"Rs. 90,000"
Bike On Sale Fzs V3 Naya Lot Ko 3000 Km Matra Gudeko,01,3000,"Rs. 2,90,000"
Yamha Szr Bike For Sale,19,40652,"Rs. 1,10,000"
71 Lot Yamaha Rayz On Sale,72,29k,"Rs. 98,000"
Yamaha Fzs V2 79lot On Sell,79,22000,"Rs. 1,59,000"
Yamaha Fzs V2 79lot On Sell,79,22000,"Rs. 1,59,000"
Bike On Sale (fz V2.0),04,16000,"Rs. 2,30,000"
Rs 200,70,28000,"Rs. 1,80,000"
Yamaha R15s,88,,"Rs. 2,25,000"
Yamaha Zr,11,300,"Rs. 1,85,000"
Fascino 107 Lot,10,,"Rs. 1,42,000"
R15s,88,15000,"Rs. 3,00,000"
Fz-5 85 Lot On Sale,85,,"Rs. 1,75,000"
Yamaha Enticer Excellent Condition,43,42000,"Rs. 69,000"
Fzs V3 Chahiyo Immediately,90,,"Rs. 11,233"
Yamaha Ybr 110 For Sale,1 ,40000,"Rs. 90,000"
Rayz 90 Lot 2017 Model,91,7450,"Rs. 1,25,000"
Mt,10,,"Rs. 4,00,000"
Yamaha Szr 50 Lot On Sell,50,,"Rs. 65,000"
Yamaha Szr 50 Lot On Sell,50,,"Rs. 65,000"
Fz,68,29000,"Rs. 1,22,000"
Yamaha Fzs V2 99lot On Sell,99,11000,"Rs. 2,05,000"
Fz 25,91,18000,"Rs. 2,50,000"
Yamaha R15 V2 57 On Sell,57,15000,"Rs. 1,45,000"
Fz 150 Black,98,"11,500","Rs. 2,15,000"
Ray Zr,3 ,28000,"Rs. 1,55,000"
Fzs 61lot,61,14942,"Rs. 99,999"
Fzs 61lot,61,14942,"Rs. 99,999"
Yamaha R15 V2 54lot On Sell,54,21000,"Rs. 1,29,000"
Yamaha Fz Fi 87lot On Sell,87,17000,"Rs. 1,79,000"
Yamaha R15 V2 50lot On Sell,50,25000,"Rs. 1,15,000"
Yamaha Zr Sr Exchange With Bike,10,,"Rs. 1,95,000"
R15 V 1.5,71,32000,"Rs. 1,55,000"
Fresh 32 Lot Bike On Sale,32,62000,"Rs. 85,000"
Fashino On Sale Fresh,77,13000,"Rs. 1,10,000"
Fresh Bike,57,,"Rs. 1,50,000"
Yamaha Fz Fi Pr-3 4lot On Sell,4 ,9000,"Rs. 2,15,000"
R15 V2 Ba52 Pa Red,52,49000,"Rs. 1,20,000"
Yamaha Fz 25 Pr-3 1lot On Sell,1 ,15000,"Rs. 2,85,000"
Yamaha Enticer Back Sock,30,,"Rs. 1,000"
Fzs V 2.0,13,1600,"Rs. 2,70,000"
Fzs V 2.0,13,1600,"Rs. 2,70,000"
Hurry Up Fzs 66lot For Sell With X-change,66,,"Rs. 99,999"
Yahama Fz For Sale In Dhangadhi,6,,"Rs. 2,10,000"
66 Lot Yamaha Fzs V2 Single Handed Used,66,,"Rs. 1,28,000"
Yamaha Fzs V2 Super Fresh Condition,89,,"Rs. 1,81,000"
Lik Show Room Condition Yamaha Enticer 49lot,49,22+,"Rs. 55,000"
108 Lot Fzs V3 With Abs System Fresh Condition,08,,"Rs. 2,54,000"
Yamaha Fz25 17000km Ran,87,17000,"Rs. 2,25,000"
Yamaha Fz25 17000km Ran,87,17000,"Rs. 2,25,000"
Lik Show Room Condition Yamaha Enticer 49lot,49,22+,"Rs. 55,000"
101 Lot Fzs V2 Double Disk Single Handed Used,01,,"Rs. 2,11,000"
71 Lot R15 S In Great Condition,71,,"Rs. 1,48,000"
87 Lot Saluto Super Fresh Condition,87,,"Rs. 1,11,000"
Fresh R15 V2 Red White 36000km Run Till,53,36343,"Rs. 1,35,000"
Fz25 Black,94,20k+,"Rs. 2,80,000"
R15s For Exchange/sale,85,27000,"Rs. 20,000"
R15 V2 On Sale,66,20000,"Rs. 1,50,000"
R15:v2,65,35000,"Rs. 1,50,000"
Fz V3,61,3300,"Rs. 2,80,000"
Yamaha Fascino (010 Lot),12,3000,"Rs. 1,64,000"
Yamaha Mt15,01,6000,"Rs. 3,58,000"
