Name,Lot No.,Kilometers,Price
Avenger 220 Cruiser,95,14000,"Rs. 2,45,000"
New Pulsar 150 Twins Disc,06,7500,"Rs. 2,20,000"
As150 Fresh Bike For Sell,70,33k,"Rs. 1,10,000"
Pulsar 220f On Urgent Sell,81,25000,"Rs. 1,90,000"
Pulsar 150,77,39000,"Rs. 1,50,000"
Pulsar 150,77,39000,"Rs. 1,50,000"
Pulsar 150,53,30000,"Rs. 65,000"
Pulsar 220,63,45000,"Rs. 1,45,000"
Pulsar 220 For Sale,62,45000,"Rs. 1,30,000"
Ns200 For Sale,70,37000,"Rs. 1,50,000"
Ns160 114 Lot,14,5000,"Rs. 2,20,000"
Ns200 On Sale,80,34000,"Rs. 1,55,000"
150 Pulsar On Sale,12,40000,"Rs. 75,000"
150 Pulsar On Sale,12,40000,"Rs. 75,000"
Kawasaki Bajaj 200,13,23000,"Rs. 25,000"
Urgent Sale,98,17560,"Rs. 2,20,000"
Brand New 220 Pulsar Lot No 014 Run 3200only,14,3200,"Rs. 2,90,000"
Pulsar 220 On Sale,84,24000,"Rs. 1,85,000"
Bajaj Platina,10,25657,"Rs. 1,00,000"
Bajaj Dominar 400,- ,,"Rs. 5,49,900"
Ns200 Pearl White,08,8300,"Rs. 2,65,000"
Pulsar 150,90,25000,"Rs. 1,65,000"
Avenger 150 Street,77,10000,"Rs. 1,80,000"
Ns 200,87,,"Rs. 1,90,000"
Avenger 220,17,23676,"Rs. 1,05,000"
200 Ns On Sale,83,35000,"Rs. 1,95,000"
Pulser 220 Lot No:70 On Sell..fresh And Well Maintain..,70,56500,"Rs. 1,50,000"
Pulser 220 Lot No:70 On Sell..fresh And Well Maintain..,70,56500,"Rs. 1,50,000"
Pulser 150 Fully Fresh Bike For Sale,81,35000,"Rs. 1,40,000"
Ns 200,10,,"Rs. 2,65,000"
Pulsar 200 On Sale,34,,"Rs. 90,000"
Discover,22,46297,"Rs. 45,000"
Pulsar 220,76,,"Rs. 1,70,000"
Urgent Sale Bajaj 220f,79,13000,"Rs. 2,50,000"
As150 On Sale,70,25000,"Rs. 1,00,000"
As150 On Sale,70,25000,"Rs. 1,00,000"
Pulsar 220,48,40000,"Rs. 1,60,000"
Bajaj 220new Bharjan,00,19000,"Rs. 2,40,000"
220 Bike For Sale,74,,"Rs. 1,70,000"
220f 78 Lot,78,35k,"Rs. 1,65,000"
Pulsar 150 Td,98,20000,"Rs. 1,85,000"
80 Lot Avenger 150cc For Sale,80,19999,"Rs. 1,39,000"
Avenger Bike Sell Urgent 2012 Model Pokhara,7 ,,"Rs. 1,10,000"
Urgent Money Needed,67,,"Rs. 1,30,000"
Dominar 400 For Sell,83,23000,"Rs. 3,10,000"
Ns 200 On Sale,12,10k+,"Rs. 2,70,000"
Pulsar 150 In Excellent Condition,01,10500,"Rs. 2,04,000"
220 Cc Pulsar,87,21000,"Rs. 1,75,000"
Pulsar Ns 200,55,56900,"Rs. 1,30,000"
Pulsar Ns 200,55,56900,"Rs. 1,30,000"
220 Pulsar On Sale,96,11000,"Rs. 2,30,000"
Pulsar 180 Is On Sale,49,,"Rs. 87,000"
69 Lot As 150 Pulsar On Sale,69,,"Rs. 90,000"
220 Fresh On Sell,07,15+,"Rs. 2,60,000"
New Model 150 Td On Seal,14,12000,"Rs. 2,35,000"
Ns 200 On Sale,82,32,"Rs. 1,93,000"
Bajaj 220,07,7500,"Rs. 2,85,000"
Bajaj 220,07,7500,"Rs. 2,85,000"
Bajaj Avenger 220,62,31000,"Rs. 1,25,000"
Pulsar Ns 160,03,13500,"Rs. 1,95,000"
As 200 On Sale Or Exchange,70,28000,"Rs. 1,27,000"
Ns 200,84,34000,"Rs. 1,90,000"
