Name,Lot No.,Kilometers,Price
Crossfire Xz 250 Rr,29,15000,"Rs. 3,50,000"
Crossfire Xz250rr On Sale,92,14000,"Rs. 4,20,000"
2017 Model Fresh Italjet Bucaneer On Sale,16,8700,"Rs. 3,90,000"
Crossfire Rider Group Needed,80,,"Rs. 1,000"
Italjet Buccaneer 250,95,12000,"Rs. 3,65,000"
Crossfire 250 Xz,86,21000,"Rs. 3,75,000"
Crossfire Gr7,11,4000,"Rs. 4,97,000"
Crossfire Gr7,13,1500,"Rs. 5,00,000"
Crossfire For Sale,11,14000,"Rs. 3,80,000"
Crossfire Rm 250 On Sale,19,14000,"Rs. 5,85,000"
Crossfire Fresh Condition,98,25000,"Rs. 4,50,000"
